Name,MHETHANOL - TOT RETURN IND,KOLMAR KOREA HOLDINGS - TOT RETURN IND,CHEIL GRG.WHEEL IND. - TOT RETURN IND,SEJONG INDUSTRIAL - TOT RETURN IND,SHINHWASILUP - TOT RETURN IND,SSANGYONG CEMENT INDL. - TOT RETURN IND,KYUNGBANG - TOT RETURN IND,KOREA AIRPORT SER. - TOT RETURN IND,BOLAK - TOT RETURN IND,G2R - TOT RETURN IND
2006-09-29,7.35577630094264,12.710544621140318,8.281030182601778,7.174486165273919,16.737921919043952,2.1224622725488196,-3.550539821385712,4.1860598522981185,-1.0721030377299101,4.241743233469819
2006-10-31,-7.35577630094264,-5.110491202020029,-10.73493482570882,-6.488589748473483,8.704614206463912,-0.8484556574814839,-0.40266776365776025,5.772174087208803,-4.52219667129965,-2.918572869228786
2006-11-30,15.790743585007672,6.7200257809568065,11.995487624719026,1.5769588984863248,4.9453307101030575,16.019536869383444,6.630200017689347,22.27484677555953,10.644163414559138,0.9810134992492614
2006-12-29,0.32522330758419926,-8.690901599380485,-0.45378991803515234,23.408425310791703,-4.907097102296465,1.7883925887829832,2.6071939874235284,0.43840373891042006,3.6966028550952323,0.844089420094285
2007-01-31,-1.5350575102421438,-15.871723412810645,-11.916740764767209,-20.94618350007824,-3.3765979901517085,-21.250425480645152,9.129114383088144,10.535784831187556,-3.820826473554284,-9.394872004569788
2007-02-28,-1.3182777490023945,8.785997592999628,2.179324362249613,-4.393957289490569,5.9268076277184,6.369300168357928,5.864910771419218,9.914163132551312,7.6066749764009955,2.617294723709662
2007-03-30,0.6008080706033425,6.542555154484209,6.595796779179697,32.42186880775817,-0.7212532936107685,3.2410962222630957,-8.241906010380262,23.12695845773165,7.8527763011814855,-1.114552003962821
2007-04-30,13.862778800860909,-3.3748694891271747,17.112540433652246,0.17316021642779234,6.993612621420819,1.5744780628486943,8.557824766631938,33.41603307620069,8.40487629841089,2.9435750920198345
2007-05-31,40.058077382950415,14.028015234151159,25.926632135857908,3.1909950376602048,5.906760573304659,10.776093688394539,-2.880097369584078,6.860415064538383,-11.340701735660108,1.4378572185798077
2007-06-29,-15.391238025944354,-1.7371766982379633,54.62438273884107,3.728971673338144,-4.896927343127366,8.755629480198213,-1.9672877991437687,-15.79886134046351,6.209654541324472,4.1974937745527185
2007-07-31,24.09177236115445,0.2314480998470536,-8.242663963415175,22.950306731752956,1.6590966137806973,3.8003421761281686,45.498980832079816,14.710674731899864,4.714056279004453,1.3596028523033432
2007-08-31,-18.693829031226183,-4.528094075300526,-3.4958808050657098,-17.37466638741285,-0.6593591496664608,2.455624770092779,14.450224377541154,-13.764354795187383,3.4308405946914533,-3.0875334714568936
2007-09-28,3.344003803616502,-2.7216734036241697,-9.318576512186905,0.7500887538121503,13.600297679697437,0.3013097655654384,-12.78340503617148,-6.485073819340315,-2.9159863539832465,-2.111250546180976
2007-10-31,12.356986558548577,9.212746842039898,-6.032468861748885,-21.980465004869476,-24.0617839116382,2.0897906480741746,-9.531017980432566,-13.809244706843682,20.40514638300035,-5.862499848587266
2007-11-30,-33.77963934347061,-11.748909455935408,-12.822669070752735,-8.141626341669195,2.895644669619113,-7.681826703510808,-13.873960479719294,3.774336295513603,-20.087750389180936,-7.850720291506352
2007-12-31,6.2500747407939095,-2.210426380071162,6.468669245681369,3.8516917382602323,-2.5968531937624384,3.45172863665022,1.8111529976259533,-0.9052274533285498,-11.54598243203484,-0.14156287754820696
2008-01-31,-14.831013836312223,-12.287858808298413,-4.176902277541661,0.10188487891023001,-3.4434787729459515,-13.88314143441729,-20.409665690285017,-0.18889359433282848,-4.038509347139119,-24.21885679506106
2008-02-29,20.946570634204154,4.6429584731577656,6.688514773476495,14.105983937455768,10.343850808623056,-6.974503398950471,-6.1605343354507625,5.6951414743224404,2.9196422091584573,-3.103865977583009
2008-03-31,4.635056718917685,-4.356014230362426,-19.948519057014558,-13.102885197707526,-2.850073521744534,-2.693790425505238,-1.6864307240346932,-1.984211712973849,-14.43004931178189,-0.9414915072662566
2008-04-30,14.998826459887393,5.766849197457269,12.016464942749394,2.567816244593768,3.897625405788485,-5.623477251654929,-7.777902703184303,-8.35400426781483,3.1978402380187454,8.688607940770954
2008-05-30,10.56371964300169,7.338941577683755,3.2150511911059,6.04955257871147,16.59898527761232,-8.183799289316696,9.798183594620724,-2.101109231657272,-5.014801474088593,-1.9602785101936249
2008-06-30,-4.879016416943216,-15.101924281402379,-13.089027125444641,-8.218260417019874,-3.2915729011729233,-9.885475739233662,-5.1294866466177425,-12.820313093573699,-4.516216506343884,-13.1842697283453
2008-07-31,-19.395755619081356,-6.083778724180977,-2.791331237547201,-9.064508419478745,-3.086486067669547,2.444285194302598,-5.406620233014436,-16.590025143371978,-17.157362096009177,24.434061875267687
2008-08-29,1.7413424551522283,-6.125955591044452,-0.10855085686216626,12.586566559938639,-11.268478192813802,-9.626354372368162,-6.899326658606242,10.672013517386603,31.138491315143213,-13.81852303161315
2008-09-30,4.901713153614207,-15.119813331491017,-4.122113288048723,-0.7720292660028605,7.107656381404848,-8.900434202157204,-13.580127177328638,4.5298127680258204,-21.989183637332843,7.1981011164692354
2008-10-31,-35.306853373123914,-30.278512616688147,-20.06592631670605,-25.714167599578985,-32.99485534671574,-46.34556895304627,-52.60912682198233,-35.435603396590665,-49.01762216749539,-5.4054794896540415
2008-11-28,10.303408514541523,18.831507162528283,4.751983575057572,-26.538828812991788,-4.1787130760027935,-16.86805071345905,-14.014830923170063,-10.68368965640536,25.658725878547006,19.150680365616157
