,period,r0,r1,rm-rf
0,2015-01-30,3.970418221922772,"x1    1.735006
dtype: float64",1.5764144196508174
1,2015-02-27,0.36477431033691543,"x1    6.720712
dtype: float64",1.6912042244669796
2,2015-03-31,3.890270347364542,"x1    3.259632
dtype: float64",2.5902726779445637
3,2015-04-30,3.094378872593653,"x1    1.54973
dtype: float64",3.989787540416378
4,2015-05-29,4.485519788504996,"x1   -1.321875
dtype: float64",-0.7282212421807981
5,2015-06-30,1.5133983891678149,"x1    1.535629
dtype: float64",-2.070470820566085
6,2015-07-31,3.154703410005739,"x1   -0.547876
dtype: float64",-2.2690929491765592
7,2015-08-31,-2.2279643763954473,"x1   -4.310983
dtype: float64",-4.589888816211993
8,2015-09-30,0.6217503584605302,"x1   -0.815775
dtype: float64",0.9691400463605124
9,2015-10-30,-5.570162445198879,"x1    3.460911
dtype: float64",3.21675552383432
10,2015-11-30,-2.7548417289000353,"x1    0.06242
dtype: float64",-1.989057641352408
11,2015-12-31,3.2512768451147878,"x1   -1.546161
dtype: float64",-1.6741481476653266
12,2016-01-29,0.17613012371233028,"x1   -1.418237
dtype: float64",-2.6671422441400288
13,2016-02-29,-4.636619097154955,"x1    1.133026
dtype: float64",0.11628929842483393
14,2016-03-31,5.859296273932756,"x1    0.344774
dtype: float64",3.9245936890514828
15,2016-04-29,-1.9727256115649692,"x1    2.652713
dtype: float64",-0.20821303773774136
16,2016-05-31,3.4684646310001,"x1   -2.241061
dtype: float64",-0.6645350617480487
17,2016-06-30,-1.2567720142724332,"x1   -1.266972
dtype: float64",-0.7681351825923807
18,2016-07-29,-0.9773248495998959,"x1    3.667122
dtype: float64",2.1968399856025917
19,2016-08-31,-4.9596391379599964,"x1    0.164768
dtype: float64",0.8084222130572891
20,2016-09-30,2.1719303612063263,"x1   -0.061631
dtype: float64",0.3373824412706037
21,2016-10-31,-5.215151629030817,"x1   -1.074534
dtype: float64",-1.8523819476174899
22,2016-11-30,-1.6039310085896514,"x1   -2.535439
dtype: float64",-1.3410941131968193
23,2016-12-30,2.0444186184175663,"x1    1.430076
dtype: float64",2.0417550690960096
24,2017-01-31,-0.48515984714502586,"x1   -1.141478
dtype: float64",1.9053576232076794
25,2017-02-28,-2.879435227805196,"x1    3.848104
dtype: float64",1.0544442606321789
26,2017-03-31,-4.956436040470841,"x1    5.564859
dtype: float64",3.123625024432028
27,2017-04-28,4.251949524694621,"x1   -2.548454
dtype: float64",1.9682337968514128
28,2017-05-31,2.027584712713325,"x1    2.350012
dtype: float64",6.134277710551936
29,2017-06-30,-0.9060764434135297,"x1   -0.066219
dtype: float64",1.7712227009407309
30,2017-07-31,-3.439058097883632,"x1    0.296102
dtype: float64",0.3525227399136719
31,2017-08-31,-3.9172807230318463,"x1    2.057477
dtype: float64",-1.7614865755796763
32,2017-09-29,-2.9705386824270965,"x1   -2.101683
dtype: float64",1.2109510774826289
33,2017-10-31,-3.4138044948143733,"x1    4.42006
dtype: float64",5.142717515198845
34,2017-11-30,8.382605560741432,"x1   -4.174108
dtype: float64",-1.987530893239398
35,2017-12-29,-0.8311916170731168,"x1   -0.822538
dtype: float64",-0.4852338597622202
36,2018-01-31,0.36544181193185743,"x1    7.427239
dtype: float64",3.8086077836757455
37,2018-02-28,-0.7562529206111962,"x1   -3.115005
dtype: float64",-5.6963270451495385
38,2018-03-30,0.5482760989883779,"x1    0.753802
dtype: float64",0.6348463755292985
39,2018-04-30,2.242927824084762,"x1    3.235822
dtype: float64",2.680117480466355
40,2018-05-31,8.497782620328227,"x1   -4.570481
dtype: float64",-3.866331663658354
41,2018-06-29,-3.0237140032444456,"x1   -4.542462
dtype: float64",-4.204462646652005
42,2018-07-31,-2.7755014416623225,"x1   -1.175627
dtype: float64",-1.4599815618441574
43,2018-08-31,1.6247397880774046,"x1    0.022373
dtype: float64",1.0721668258281931
44,2018-09-28,1.1899519725576817,"x1   -0.428806
dtype: float64",0.737424019209371
45,2018-10-31,0.5054053409422286,"x1   -18.960062
dtype: float64",-14.483896327360375
46,2018-11-30,4.146169139339989,"x1    4.68781
dtype: float64",3.129791561725907
47,2018-12-31,4.3629973218496,"x1   -2.875251
dtype: float64",-2.8451505778264745
