,SAVG,SSD,lnWgts
MHETHANOL - TOT RETURN IND,0.3750654496651531,11.581555246735947,0.10980642765999007
KOLMAR KOREA HOLDINGS - TOT RETURN IND,1.502373725023569,13.940173557277129,2.441947447989717
CHEIL GRG.WHEEL IND. - TOT RETURN IND,0.5279518851167909,9.168320076702404,1.8105163939652293
SEJONG INDUSTRIAL - TOT RETURN IND,0.16055116082700852,12.799403593556054,-0.5340365089827334
SHINHWASILUP - TOT RETURN IND,0.3311480558263819,11.569094363568102,0.7531047510803471
SSANGYONG CEMENT INDL. - TOT RETURN IND,0.4464118377557206,12.625774036638834,-0.3140390993176911
KYUNGBANG - TOT RETURN IND,-0.07204922976701267,11.673194327701196,-0.776621122248999
KOREA AIRPORT SER. - TOT RETURN IND,0.14001186717393488,10.413528964201674,0.01997008543509593
BOLAK - TOT RETURN IND,1.0191591387364136,13.658613813491332,1.4482855584349552
G2R - TOT RETURN IND,-0.5619788409506262,8.101808200170332,-3.9589339340159113
