,SAVG,SSD,lnWgts
MHETHANOL - TOT RETURN IND,0.17083790475497287,11.576948191209512,0.12288262858601384
KOLMAR KOREA HOLDINGS - TOT RETURN IND,1.2981461801133893,13.945427590150475,-2.604187295870876
CHEIL GRG.WHEEL IND. - TOT RETURN IND,0.32372434020661156,9.168134554248297,-1.5593847471107047
SEJONG INDUSTRIAL - TOT RETURN IND,-0.04367638408317188,12.804113806851046,0.6385975799461152
SHINHWASILUP - TOT RETURN IND,0.12692051091620207,11.573955706591095,-0.6665957734914638
SSANGYONG CEMENT INDL. - TOT RETURN IND,0.2421842928455411,12.640048584626113,0.3751729662879588
KYUNGBANG - TOT RETURN IND,-0.27627677467719247,11.684217616361881,0.9014871268487026
KOREA AIRPORT SER. - TOT RETURN IND,-0.06421567773624505,10.41766955437399,0.20072378887717712
BOLAK - TOT RETURN IND,0.8149315938262337,13.66910170365594,-1.5266672483948993
G2R - TOT RETURN IND,-0.7662063858608054,8.10776835392215,5.117970974321977
