,SAVG,SSD,lnWgts
MHETHANOL - TOT RETURN IND,0.4771792221202428,11.584187845434338,0.1120406068821037
KOLMAR KOREA HOLDINGS - TOT RETURN IND,1.6044874974786574,13.937819869833858,1.2709992467757645
CHEIL GRG.WHEEL IND. - TOT RETURN IND,0.630065657571881,9.16882946675221,1.0277696655304158
SEJONG INDUSTRIAL - TOT RETURN IND,0.26266493328209767,12.797346333759753,-0.2619822503555304
SHINHWASILUP - TOT RETURN IND,0.43326182828147175,11.566993174119897,0.42362596923188334
SSANGYONG CEMENT INDL. - TOT RETURN IND,0.5485256102108101,12.618933424621451,-0.1533572389449137
KYUNGBANG - TOT RETURN IND,0.030064542688077033,11.668006167064288,-0.386719423510915
KOREA AIRPORT SER. - TOT RETURN IND,0.2421256396290248,10.41182494137426,0.06171046774243269
BOLAK - TOT RETURN IND,1.1212729111915025,13.653646623381881,0.7582454673750062
G2R - TOT RETURN IND,-0.4598650684955361,8.0992981287009,-1.852332510726247
